id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
7270561f,2021-05-08,936360,32810,,,,3858981,2888252,,,,-2,-1,-1,3,0,0,-1,3,2,3,2,-3,5,2,-62.24,-40.74,-56.85,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-09,937338,32836,,,,3882570,2944996,,,,-2,-1,-1,3,0,0,-1,3,2,3,2,-3,5,2,-62.24,-40.74,-56.85,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-10,938087,32864,,,,3901519,2992714,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-11,938577,32887,,,,3917264,3027356,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-12,939478,32934,,,,3935782,3068426,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-13,940321,32966,,,,3953064,3105240,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-14,941094,32991,,,,3976255,3144030,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-15,941485,32991,,,,4003315,3186196,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-16,942440,33016,,,,4031292,3227075,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-17,943021,33043,,,,4048390,3249460,,,,-2,-1,-1,3,0,0,1,3,2,3,2,-2,4,2,-60.99,-43.52,-55.42,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-18,943942,33065,,,,4063934,3273141,,,,-2,-1,-1,3,0,0,1,3,2,3,2,-2,4,2,-60.99,-43.52,-55.42,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-19,944306,33078,,,,4094154,3308668,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-20,944940,33090,,,,4119092,3339881,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-21,945568,33107,,,,4159751,3380683,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-22,946029,33110,,,,4181099,3410144,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-23,946469,33125,,,,4210970,3445078,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-24,946844,33146,,,,4225246,3462681,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-25,947310,33156,,,,4241875,3483288,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-26,947602,33169,,,,4265345,3507439,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-27,948116,33184,,,,4285101,3530475,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-28,948499,33199,,,,4307183,3554371,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-29,948833,33207,,,,4334730,3583241,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-30,949153,33213,,,,4355539,3606876,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-05-31,949390,33222,,,,4366496,3621132,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,4,2,-63.33,-43.52,-58.1,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-01,949653,33240,,,,4373733,3629582,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-02,949793,33245,,,,4384963,3646746,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-03,949986,33257,,,,4402435,3668781,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-04,950314,33277,,,,4420772,3690924,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
7270561f,2021-06-05,950676,33280,,,,4440598,3720288,,,,-2,-1,-1,3,0,0,1,3,2,3,2,3,5,2,-64.58,-43.52,-59.52,-100,3,United States,New York,New York City,40.7894954681397,-73.9632840668647,8336817,USA,US,840,USD,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,"New York City, New York",US36061,,USA.33.32_1
